House #,Total_Bathrooms,AC,Num_Units,Total_Rooms,Bedrooms,Remodel_10_Years,Sale_Date,Price,Sale_Num,Square_Footage,Condition,Exterior_Wall,Roof,Interior_Wall,Kitchens,Fireplaces,Land_Area,Census_track,grade_5_english_75_N,grade_5_english_25_N,grade_5_math_75_N,grade_5_math_25_N,grade_8_english_75_N,grade_8_english_25_N,grade_8_math_75_N,grade_8_math_25_N,grade_9_12_english_75_N,grade_9_12_english_25_N,grade_9_12_math_75_N,grade_9_12_math_25_N,Starbucks_count_N,McDonalds_count_N,Population_size,Percent_White,Percent_Black,Percent_AmInd,Percent_Asian,Percent_HI_PI,Percent_Other_mixed,Percent_Hispanic,Percent_18plus,Total_Housing_Units,Percent_Occupied,Percent_Vacant,FAGI_Total,FAGI_Median
45,4.5,Y,1,12,6,1,1/6/16 0:00,1385000,5,2356,Very Good,Common Brick,Comp Shingle,Hardwood,1,1,6850,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5911,0.8250719,0.10878024,0.001184233,0.024530536,0.000338352,0.044154965,0.051429538,0.739468787,2126,0.97883349,0.02116651,623341016,165589
46,2,N,1,6,3,1,1/6/16 0:00,648999,2,1742,Good,Common Brick,Metal- Sms,Hardwood,1,1,2180,2500.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513
47,2.5,N,1,7,3,0,1/6/16 0:00,465000,2,1296,Average,Common Brick,Built Up,Hardwood,1,0,2565,2200.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3087,0.092322643,0.70521542,0.008422417,0.009070295,0.000323939,0.196307094,0.209912536,0.790411403,1434,0.887029289,0.112970711,76191464,34486
48,1.5,Y,1,6,3,1,1/6/16 0:00,605000,4,1292,Good,Common Brick,Built Up,Hardwood,1,0,2253,9500.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2910,0.148453608,0.790721649,0.00137457,0.014089347,0,0.065979381,0.038831615,0.836082474,1256,0.955414013,0.044585987,113767916,60025
49,3,Y,1,12,4,0,1/6/16 0:00,511950,4,1613,Very Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,4976,7500.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5
50,1.5,N,1,6,3,0,1/6/16 0:00,119700,4,1542,Average,Wood Siding,Metal- Sms,Wood Floor,1,0,2264,7500.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425,0.016082474,0.95628866,0.003298969,0.002474227,0,0.029690722,0.015257732,0.676701031,1000,0.857,0.143,34675207,23658
51,2.5,Y,1,6,3,0,1/6/16 0:00,327000,3,2160,Very Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,0,1706,7400.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3310,0.012386707,0.956193353,0.001208459,0.002416918,0,0.039577039,0.019335347,0.634441088,1308,0.845565749,0.154434251,45389701,25906.5
52,6,N,4,19,7,1,1/7/16 0:00,1321410,4,3579,Very Good,Face Brick,Metal- Pre,Hardwood,4,1,1383,8300.01,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,2279,0.764809127,0.168056165,0.002193945,0.029398859,0.000438789,0.037735849,0.035103115,0.894690654,1154,0.928942808,0.071057192,159487649,82900
53,1.5,Y,1,7,2,0,1/7/16 0:00,779000,5,1190,Good,Common Brick,Metal- Sms,Hardwood,1,3,1012,8400.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2149,0.537924616,0.393671475,0.003257329,0.023731968,0.001861331,0.045602606,0.046067939,0.893438809,1270,0.924409449,0.075590551,95344734,63150
54,4,Y,1,7,3,0,1/7/16 0:00,1850000,3,2218,Average,Common Brick,Slate,Hardwood,1,2,3562,200.02,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,2.098089151,0,5425,0.867281106,0.029308756,0.000921659,0.069124424,0.000552995,0.032995392,0.063225806,0.932903226,2143,0.902006533,0.097993467,429158437,115586
55,4.5,Y,1,10,4,1,1/7/16 0:00,1170000,3,2130,Good,Wood Siding,Comp Shingle,Hardwood,1,1,3640,1100,0.333333333,0.333333333,0.333333333,0.333333333,0.25,0.25,0,0.25,0.5,0.5,1.5,2,4.634837814,0,4779,0.839506173,0.060682151,0.001883239,0.057124922,0.001255493,0.041640511,0.064030132,0.832810211,2234,0.948075201,0.051924799,480166743,114189.5
56,3.5,Y,1,8,6,1,1/7/16 0:00,1426000,2,3336,Good,Common Brick,Comp Shingle,Hardwood,1,2,4743,1300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6857,0.816100335,0.055271985,0.001895873,0.086772641,0.000291673,0.041709202,0.070438967,0.960915852,5375,0.892093023,0.107906977,488935701,75148
57,8,Y,2,15,8,1,1/7/16 0:00,4000000,4,6691,Excellent,Common Brick,Slate,Hardwood,2,4,17000,1300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3955,0.770417193,0.094563843,0.001769912,0.090265487,0,0.04551201,0.073324905,0.879140329,2156,0.941558442,0.058441558,403703591,76325
58,4,Y,4,12,4,1,1/7/16 0:00,879000,3,2568,Good,Common Brick,Built Up,Hardwood,4,0,1942,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677
59,2,Y,1,6,3,0,1/7/16 0:00,385000,4,1508,Average,Wood Siding,Metal- Sms,Hardwood,1,1,1580,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4913,0.226745369,0.593730918,0.004477916,0.018725829,0.000203542,0.155098718,0.24180745,0.805414207,1840,0.907065217,0.092934783,139048784,35833.5
60,1.5,N,1,7,3,0,1/7/16 0:00,625000,2,1768,Average,Common Brick,Built Up,Hardwood/Carp,1,1,1712,8700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599,0.138211382,0.800500313,0.003752345,0.010006254,0.000625391,0.058161351,0.06441526,0.828642902,902,0.790465632,0.209534368,159109427,53754
61,1.5,N,1,7,3,0,1/7/16 0:00,516000,4,1668,Average,Common Brick,Metal- Sms,Hardwood,1,0,1250,9200.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2582,0.108443067,0.819907049,0.002711077,0.015491867,0.000774593,0.062354764,0.064678544,0.816808675,1259,0.845909452,0.154090548,78432565,41301
62,2,N,2,8,4,0,1/7/16 0:00,350000,3,1152,Average,Common Brick,Built Up,Hardwood,2,0,2582,9500.01,0,0,0,0,0,0,0,0,0,0,0,0,1.624611803,0,5797,0.367086424,0.487666034,0.006210109,0.018630326,0.00172503,0.121959634,0.143350009,0.879592893,1954,0.92221085,0.07778915,71687637,29720.5
63,4,N,4,16,8,1,1/7/16 0:00,782255,2,3170,Good,Common Brick,Built Up,Hardwood,4,0,2915,7900.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3822,0.103872318,0.850863422,0.00418629,0.006279435,0,0.047619048,0.030088959,0.725013082,1784,0.8632287,0.1367713,85297510,37573
64,2,Y,1,6,2,1,1/7/16 0:00,261000,3,578,Good,Common Brick,Comp Shingle,Hardwood/Carp,1,1,4000,9900.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2795,0.008586762,0.957423971,0.002504472,0.001073345,0.000715564,0.036851521,0.018604651,0.719856887,1330,0.830075188,0.169924812,40068077,28297
65,1,N,1,4,2,1,1/7/16 0:00,230000,5,546,Average,Aluminum,Comp Shingle,Hardwood,1,0,2700,7800.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3646,0.009325288,0.956939111,0.002742732,0.002468459,0,0.039769611,0.021119035,0.69775096,1598,0.846057572,0.153942428,55871889,27844.5
66,2,Y,1,7,3,1,1/7/16 0:00,310000,3,1216,Good,Common Brick,Metal- Sms,Hardwood,1,1,1120,7600.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4355,0.032146958,0.943513203,0.001607348,0.004822044,0,0.026865672,0.014006889,0.783237658,2196,0.844717668,0.155282332,82541867,30846
67,1,N,1,5,2,0,1/7/16 0:00,216000,4,928,Good,Common Brick,Built Up,Hardwood,1,0,1748,9800.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,0.018229167,0.956054688,0.001302083,0.004231771,0,0.028320313,0.018880208,0.779947917,1551,0.87040619,0.12959381,55085531,30509
68,4.5,Y,2,6,4,1,1/8/16 0:00,1008500,7,1800,Good,Common Brick,Built Up,Hardwood,2,0,1425,6900,0,0,0,0,0,0,0,0,0,0,0,0,6.313038849,0,2179,0.644332263,0.291877008,0.003212483,0.027994493,0.000917852,0.03304268,0.039926572,0.866452501,1190,0.936134454,0.063865546,136440279,86964.5
69,1.5,Y,1,5,2,0,1/8/16 0:00,990000,3,1218,Good,Common Brick,Metal- Sms,Hardwood,1,0,1054,200.02,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,2.098089151,0,5425,0.867281106,0.029308756,0.000921659,0.069124424,0.000552995,0.032995392,0.063225806,0.932903226,2143,0.902006533,0.097993467,429158437,115586
70,4.5,Y,1,11,5,0,1/8/16 0:00,1752750,4,4147,Average,Common Brick,Slate,Hardwood,2,3,11807,800.01,0,0,0,0,0,0,0,0,0,0,0,0,1.683999753,0,6709,0.852437025,0.047100909,0.000745268,0.055746013,0.000149054,0.045461321,0.085258608,0.848263527,3528,0.909013605,0.090986395,762051697,122703
71,3.5,Y,1,8,4,0,1/8/16 0:00,875000,2,2213,Average,Common Brick,Comp Shingle,Hardwood,1,1,3700,1400.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998,0.778519013,0.118745831,0.001667779,0.053368913,0,0.051367578,0.077384923,0.815877252,1612,0.913151365,0.086848635,226932847,122810
72,1,N,1,7,3,0,1/8/16 0:00,501000,5,1240,Average,Common Brick,Metal- Sms,Hardwood,1,0,1500,2400,0,0,0,0,0,0.333333333,0,0,0.25,0.25,0,0.75,0,0,3618,0.219181868,0.633775567,0.004145937,0.016583748,0.000276396,0.12962963,0.189331122,0.815644002,1384,0.921242775,0.078757225,129540107,44564.5
73,1.5,N,1,7,3,0,1/8/16 0:00,330000,4,1118,Average,Common Brick,Built Up,Hardwood,1,0,2040,9500.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,0.035594359,0.875755541,0.007387508,0.000671592,0,0.087978509,0.104768301,0.811954332,607,0.960461285,0.039538715,41834568.92,39851
74,1.5,Y,1,8,4,0,1/8/16 0:00,440000,2,1310,Average,Common Brick,Built Up,Hardwood,1,0,1728,9300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,0.185870479,0.702270816,0.009251472,0.016820858,0,0.100925147,0.105130362,0.805719092,545,0.844036697,0.155963303,38583475,40697.5
75,2.5,Y,1,7,4,1,1/8/16 0:00,599000,5,1924,Very Good,Vinyl Siding,Comp Shingle,Hardwood,1,1,4375,11100,0,0,0,0,0,1,0,1,0,0.166666667,0,0.166666667,0,0.427335794,4859,0.06626878,0.862728957,0.004939288,0.003087055,0.000205804,0.07470673,0.069355835,0.811895452,1868,0.924518201,0.075481799,122414153,42315
76,4.5,Y,1,7,4,1,1/8/16 0:00,760000,2,2065,Very Good,Brick/Siding,Slate,Hardwood,1,1,3685,9400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4163,0.088878213,0.832812875,0.005524862,0.010088878,0,0.072303627,0.063896229,0.815998078,1792,0.921316964,0.078683036,139399116,52796.5
77,2.5,Y,1,7,3,1,1/8/16 0:00,340000,3,960,Good,Common Brick,Built Up,Hardwood,1,0,1456,9600.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,0.015800204,0.950560652,0.002038736,0.000509684,0,0.039245668,0.02803262,0.811416922,998,0.928857715,0.071142285,42752988,35403
