Census Tracts,grade_5_english_75_N,grade_5_english_25_N,grade_5_math_75_N,grade_5_math_25_N,grade_8_english_75_N,grade_8_english_25_N,grade_8_math_75_N,grade_8_math_25_N,grade_9_12_english_75_N,grade_9_12_english_25_N,grade_9_12_math_75_N,grade_9_12_math_25_N,Starbucks_count_N,McDonalds_count_N,,,,,,,,,,,,,,
4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4200.01,0,0,0,0,0,0,0,0,0,0,0,0,12.6644655,0,,,,,,,,,,,,,,
4200.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4300,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94562781,,,,,,,,,,,,,,
4400,0,0,0,0,0,0,0,0,0,0,0,0,4.964596716,0,,,,,,,,,,,,,,
4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4700.01,0,0,0,0,0,0,0,0,0,0,0,0,8.063017968,0,,,,,,,,,,,,,,
4700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4800.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4900.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4900.02,0,0,0,0,0,0,0,0,0,0,0,0,9.815806393,0,,,,,,,,,,,,,,
5000.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
5000.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
5200.01,0,0,0,0,0,0,0,0,0,0,0,0,7.624867499,0,,,,,,,,,,,,,,
5300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
5500,0,1,1,1,1,1,0,0,0.5,0.5,0.5,0.5,16.25133535,0,,,,,,,,,,,,,,
5600,0,0,0,0,0,0,0,0,0,0,0,0,5.452272848,0,,,,,,,,,,,,,,
5800,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,31.28304894,11.37565416,,,,,,,,,,,,,,
5900,0,0,0,0,0,0,0,0,0,0,0,0,4.022806901,0,,,,,,,,,,,,,,
6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6500,0,0,0,0,0,0,0,0,0,0,0,0,5.221498581,0,,,,,,,,,,,,,,
6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6800.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6800.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6900,0,0,0,0,0,0,0,0,0,0,0,0,6.313038849,0,,,,,,,,,,,,,,
7000,0,0,0,0,0,0,0,0,0,0,0,0,6.161129936,0,,,,,,,,,,,,,,
7100,0,0,0,0,0,0,0,0,0,0.5,0,0,0,3.541620522,,,,,,,,,,,,,,
7200,0,0,0,0,0,0,0,0,0,0,0,0,1.57764669,0,,,,,,,,,,,,,,
7300.01,0,0,0,0,0,0,0,0,0,0,0,0,0.262306688,0,,,,,,,,,,,,,,
7300.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7400.01,0,0,0,0,0,1,0,1,0,0.25,0,0.25,0,0,,,,,,,,,,,,,,
7400.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7400.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7400.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7400.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7400.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7400.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7500.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7500.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7500.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7600.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7600.03,0,0,0,0,0,0,0,0,0,0,0,0,2.111640312,0,,,,,,,,,,,,,,
7600.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7600.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7700.03,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
7700.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7700.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7700.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7800.03,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,,,,,,,,,,,,,,
7800.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7800.06,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,,,,,,,,,,,,,,
7800.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7800.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7800.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7900.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
7900.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8000.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8000.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8300.01,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,,,,,,,,,,,,,,
8300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8400.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8400.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8700.01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
8700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8800.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8800.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8900.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
8900.04,0,0,0,0,0,0,0,1,0,0.5,0,0.5,5.673408643,0,,,,,,,,,,,,,,
9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9100.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9200.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9200.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9200.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9500.01,0,0,0,0,0,0,0,0,0,0,0,0,1.624611803,0,,,,,,,,,,,,,,
9500.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9500.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,
9500.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9500.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9500.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9500.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9600.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9600.02,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,,,,,,,,,,,,,,
9600.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9600.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9800.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9800.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9800.04,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,,,,,,,,,,,,,,
9800.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9800.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9800.11,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,,,,,,,,,,,,,,
9900.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9900.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9900.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9900.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9900.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9900.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
9900.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
10100,0,0,0,0,0,0,0,0,0,0,0,0,26.80707258,4.46784543,,,,,,,,,,,,,,
10200,0,0,0,0,0,0,0,0,0,0,0,0,9.342443686,1.868488737,,,,,,,,,,,,,,
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
10400,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,,,,,,,,,,,,,,
10500,0,0,0,0,0,0,0,0,0,0,0,0,3.441357073,0,,,,,,,,,,,,,,
10600,0,0,0,0,0,0,0,0,0,0,0,0,2.094486342,4.188972684,,,,,,,,,,,,,,
10700,0,0,0,0,0,0,0,0,0,0,0,0,31.95729483,5.810417241,,,,,,,,,,,,,,
10800,0,0,0,0,0,0,0,0,0,0,0,0,15.66087932,0,,,,,,,,,,,,,,
10900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
11100,0,0,0,0,0,1,0,1,0,0.166666667,0,0.166666667,0,0.427335794,x,x,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
